,acousticness_1,danceability_1,energy_1,instrumentalness_1,liveness_1,loudness_1,mode_1,speechiness_1,tempo_1,time_signature_1,type_1,valence_1,acousticness_2,danceability_2,energy_2,instrumentalness_2,liveness_2,loudness_2,mode_2,speechiness_2,tempo_2,time_signature_2,type_2,valence_2
0,0.122,0.654,0.772,6.27e-05,0.219,-5.169,1,0.0589,103.999,4,audio_features,0.452,0.00934,0.213,0.459,0.0223,0.41,-9.873,1,0.0448,85.108,3,audio_features,0.0726
0,0.395,0.588,0.834,4.13e-06,0.127,-4.367,1,0.0466,79.959,4,audio_features,0.461,0.713,0.416,0.129,0.0,0.0918,-13.173,1,0.103,138.404,4,audio_features,0.278
0,0.209,0.667,0.798,0.015,0.0972,-5.935,1,0.0675,114.981,4,audio_features,0.485,0.778,0.413,0.792,0.292,0.0727,-7.951,1,0.261,138.228,4,audio_features,0.0386
0,0.297,0.586,0.567,0.0,0.101,-8.832,1,0.0522,132.027,4,audio_features,0.383,0.711,0.505,0.246,0.0,0.411,-12.258,1,0.157,178.577,4,audio_features,0.512
0,0.713,0.629,0.53,0.0274,0.412,-9.943,0,0.0556,99.806,4,audio_features,0.78,0.223,0.631,0.705,3.2e-05,0.128,-2.941,0,0.0344,101.075,4,audio_features,0.382
0,0.00165,0.548,0.889,0.00109,0.197,-4.682,1,0.0382,90.048,4,audio_features,0.425,0.0298,0.446,0.701,8.89e-06,0.0931,-4.179,0,0.0295,159.958,3,audio_features,0.394
0,0.169,0.619,0.623,1.6e-06,0.1,-6.139,0,0.0524,121.024,4,audio_features,0.278,0.00446,0.791,0.754,0.0,0.163,-3.729,1,0.0569,125.014,4,audio_features,0.425
0,0.00446,0.791,0.754,0.0,0.163,-3.729,1,0.0569,125.014,4,audio_features,0.425,0.743,0.681,0.292,0.0,0.0974,-9.599,1,0.0483,64.002,4,audio_features,0.162
0,0.693,0.47,0.221,0.0,0.104,-9.243,1,0.0371,133.714,4,audio_features,0.264,0.0168,0.518,0.587,1.19e-06,0.206,-7.937,1,0.12,98.367,4,audio_features,0.631
0,0.0316,0.457,0.701,0.0,0.0956,-4.087,1,0.132,97.061,4,audio_features,0.62,0.779,0.686,0.288,0.00304,0.115,-11.533,1,0.03,111.036,4,audio_features,0.214
