rating,track_1,artist_1,album_1,uri_1,track_2,artist_2,album_2,uri_2,is_pop
0.0,Palm Dreams,Hayley Kiyoko,Expectations,spotify:track:3qDaH8tgcdzdpxaL7CyW2s,The 1975,The 1975,"I like it when you sleep, for you are so beautiful yet so unaware",spotify:track:4ZEvWpjUBtL9gjVIzB2Wbr,
0.0,Let It Be,Hayley Kiyoko,Expectations,spotify:track:181uk7o0ajEG8F1HYrqbxu,The 1975,The 1975,A Brief Inquiry Into Online Relationships,spotify:track:7dvM0LbJ4pu1tDJnCH1Ahg,
0.0,TOOTIMETOOTIMETOOTIME,The 1976,A Brief Inquiry Into Online Relationships,spotify:track:33DzKnwuBE6lfOiADwzd5E,How To Draw / Petrichor,The 1976,A Brief Inquiry Into Online Relationships,spotify:track:1bTfkhyNrSmthxL7P5yGDJ,
0.0,Vibe,Tove Stryke,,spotify:track:7rXOrI115JVyhBfM2DRKwZ,Rooftop - Acoustic,Clara Mae,Sorry for Writing All the Songs About You,spotify:track:7m34nMTiU0KwhsMSBmUhde,
0.0,Good Mourning,Halsey,hopeless fountain kingdom,spotify:track:6Ck8Lq4srTWQP1PXZ9P8aZ,Wait Up,Charlotte Lawrence,,spotify:track:6VM9H9tmexHFNLePOXOVPX,
0.0,Behind These Hazel Eyes,Kelly Clarkson,Breakaway,spotify:track:0AKAxdNkwq9ZxRdW1DN9zW,Breakaway,Kelly Clarkson,Breakaway,spotify:track:61Qhe2mHSLhUE04QeK4lkD,
0.0,Lost Myself,Apollos,,spotify:track:0wBUHmaeihAuTWPbN3Y6Rc,California Gurls,Katy Perry,Teenage Dream,spotify:track:6tS3XVuOyu10897O3ae7bi,
0.0,California Gurls,Katy Perry,Teenage Dream,spotify:track:6tS3XVuOyu10897O3ae7bi,Older,Sasha Sloan,Loser,spotify:track:52iLDrSoRtf9lcgFuLVfqE,
0.0,Never Not,Lauv,I met you when I was 18.,spotify:track:4fFfyouye6vrX9o9z4PVMu,JT,Jon Bellion,Glory Sound Prep,spotify:track:1eftOUoeMO1JkSQQmS6jXF,
0.0,How It Ends,Emily Warren,,spotify:track:06uX6D1YUwbzBhpRBpXL5L,Nana,The 1975,"I like it when you sleep, for you are so beautiful yet so unaware",spotify:track:1JmLA5HZ7Wp7L8DNctLpUW,
0.0,Nana,The 1975,"I like it when you sleep, for you are so beautiful yet so unaware",spotify:track:1JmLA5HZ7Wp7L8DNctLpUW,Help Me Out,Maroon 5,Red Pill Blues,spotify:track:2uSLx5uwRIhiA3sJJraNqX,
0.0,Heaven Wasn't Made For Me,Terror Jr,"Unfortunately, Terror Jr",spotify:track:3B6lwaPB9rocO48swMX56B,Head Above Water,Avril Lavigne,Head Above Water,spotify:track:1N7YeVU0ZwAFbOhwM61ef6,
0.0,Head Above Water,Avril Lavigne,Head Above Water,spotify:track:1N7YeVU0ZwAFbOhwM61ef6,High On Humans,Oh Wonder,Ultralife,spotify:track:7Cts7ZvGcYACwmbDwOcFMo,
0.0,The A Team,Ed Sheeran,+,spotify:track:1XpYodsD36XN7ygcdF7mJJ,Poker Face,Lady Gaga,The Fame,spotify:track:0WfKDYeUAoLA3vdvLKKWMW,
0.0,The A Team,Ed Sheeran,+,spotify:track:1XpYodsD36XN7ygcdF7mJJ,"Honey, I'm Good.",Andy Grammer,Magazines Or Novels,spotify:track:4MflGTO2ZTcSQ12bWcyRgI,
0.0,"Honey, I'm Good.",Andy Grammer,Magazines Or Novels,spotify:track:4MflGTO2ZTcSQ12bWcyRgI,The A Team,Ed Sheeran,+,spotify:track:1XpYodsD36XN7ygcdF7mJJ,
